label,rank_type,rank,term,coefficient
toxic,top,1,you,1701.68
toxic,top,2,shit,891.04
toxic,top,3,fuck,862.03
toxic,top,4,fucking,807.31
toxic,top,5,is,684.19
toxic,top,6,he,634.37
toxic,top,7,are,430.08
toxic,top,8,stupid,389.55
toxic,top,9,hate,270.75
toxic,top,10,get,264.57
toxic,top,11,go,252.46
toxic,top,12,in the,242.86
toxic,top,13,your,230.57
toxic,top,14,like,217.96
toxic,top,15,off,207.5
toxic,top,16,want,181.37
toxic,top,17,idiot,150.55
toxic,top,18,all,149.38
toxic,top,19,ass,141.96
toxic,top,20,up,135.75
toxic,bottom,1,the,-2087.79
toxic,bottom,2,to,-1488.91
toxic,bottom,3,in,-1037.62
toxic,bottom,4,it,-545.29
toxic,bottom,5,for,-541.98
toxic,bottom,6,but,-483.31
toxic,bottom,7,and,-455.44
toxic,bottom,8,at,-400.41
toxic,bottom,9,of,-388.54
toxic,bottom,10,not,-339.13
toxic,bottom,11,we,-272.45
toxic,bottom,12,can,-246.36
toxic,bottom,13,there,-239.78
toxic,bottom,14,has,-230.0
toxic,bottom,15,please,-228.52
toxic,bottom,16,if you,-226.0
toxic,bottom,17,as,-221.19
toxic,bottom,18,or,-219.28
toxic,bottom,19,about,-205.42
toxic,bottom,20,from,-198.81
